name,street,city,state,zip,neighborhood,community_district,accepts_ebt,type,subtype,bread,bread_whole_wheat,dairy,dairy_low_fat,fish_fresh,fish_sustainably_caught,fresh_produce,fruit,greens,health_natural,herbs,juices_natural,local_food,meat_deli,meat_free_range,meat_low_fat,meat_packaged,organics,prepared_food,star_bodega,vegetables,other,surveyor,added,surveyed,latitude,longitude
Tony's Superior Market,514 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,False,,True,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:31:57,2010-07-14 00:00:00,40.667988,-73.991104
Reyes Deli,532 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,True,True,False,False,False,False,,True,False,False,False,False,False,,True,,Jeff Heehs,2010-07-20 13:32:43,2010-07-14 00:00:00,40.667313,-73.991621
Park Slope Gourmet Deli,555 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,False,True,False,,False,,Jeff Heehs,2010-07-20 13:34:47,2010-07-14 00:00:00,40.665576,-73.988887
7-Eleven,520 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,convenience store,False,False,True,True,False,,False,False,False,False,False,True,,False,False,False,False,False,True,,False,,Jeff Heehs,2010-07-20 13:35:50,2010-07-14 00:00:00,40.666739,-73.988685
My Favorite Deli,513 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:36:42,2010-07-14 00:00:00,40.666753,-73.9879629
Rite Aid,470 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,convenience store,False,False,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Jeff Heehs,2010-07-20 13:37:34,2010-07-14 00:00:00,40.668293,-73.9870593
Estevez Deli Grocery,461 6th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Jeff Heehs,2010-07-20 13:38:39,2010-07-14 00:00:00,40.667194,-73.984231
Stop & 5th Deli,357 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,True,,False,False,False,False,False,False,,False,,Pat Konecky,2010-08-12 20:20:49,2010-07-08 00:00:00,40.671566,-73.983941
Bagel World,339 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 20:22:11,2010-07-08 00:00:00,40.671985,-73.983611
5th Avenue Gourmet Delight,270 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,True,True,True,True,False,,True,True,True,False,True,True,,True,False,False,True,True,True,,True,,Pat Konecky,2010-08-12 20:26:10,2010-08-10 00:00:00,40.6746089,-73.982135
